Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-10-28,16484,0.39583334,0.39410209105269217,0.0017312522147486242,1,0.1377235246086606,False
2025-10-29,16484,0.37037036,0.40008831587836186,0.029717957649678384,2,0.1377235246086606,False
2025-10-30,16484,0.4082569,0.36569319178656934,0.042563696603018064,3,0.1377235246086606,False
2025-10-31,16484,0.285,0.3816208787296157,0.09662088230589438,4,0.1377235246086606,False
2025-09-06,16486,0.4,0.3901987696975798,0.009801236262884705,5,0.1377235246086606,False
2025-09-08,16486,0.06875,0.15704284217070485,0.08829284068058874,0,0.1377235246086606,False
2025-09-09,16486,0.09090909,0.248251832126458,0.15734273850806504,1,0.1377235246086606,True
2025-09-10,16486,0.10493827,0.12456716632837801,0.01962889766687899,2,0.1377235246086606,False
2025-09-11,16486,0.35135135,0.36803070780614233,0.016679357260259153,3,0.1377235246086606,False
2025-09-12,16486,0.09166667,0.30141484100379107,0.2097481723503029,4,0.1377235246086606,True
2025-09-13,16486,0.3529412,0.4015007120314035,0.0485595267954263,5,0.1377235246086606,False
2025-09-15,16486,0.49056605,0.40222469275362205,0.08834135229223061,0,0.1377235246086606,False
2025-09-16,16486,0.3448276,0.3874570399252107,0.0426294475523164,1,0.1377235246086606,False
2025-09-20,16486,0.41025642,0.38783173492988315,0.02242468067566189,5,0.1377235246086606,False
2025-09-21,16486,0.407767,0.38311620164014093,0.024650796174037537,6,0.1377235246086606,False
2025-09-22,16486,0.4,0.40392966826743837,0.003929662306973891,0,0.1377235246086606,False
2025-09-23,16486,0.33333334,0.37284126660681405,0.03950792333937325,1,0.1377235246086606,False
2025-09-24,16486,0.4375,0.3703930166625234,0.06710698333747661,2,0.1377235246086606,False
2025-09-25,16486,0.2,0.3072715426010049,0.10727153962077268,3,0.1377235246086606,False
2025-09-26,16486,0.12903225,0.315791611064399,0.18675935684534384,4,0.1377235246086606,True
2025-09-27,16486,0.28985506,0.37876763368870525,0.08891257072712688,5,0.1377235246086606,False
2025-09-28,16486,0.44444445,0.3656807936832407,0.07876365407257291,6,0.1377235246086606,False
2025-09-29,16486,0.31428573,0.3781014244002575,0.0638156990451092,0,0.1377235246086606,False
2025-09-30,16486,0.06716418,0.25480903877289973,0.18764485610993586,1,0.1377235246086606,True
2025-10-01,16486,0.3,0.2793755899223013,0.02062442199862763,2,0.1377235246086606,False
2025-10-04,16486,0.375,0.40940631921291737,0.03440631921291737,5,0.1377235246086606,False
2025-10-05,16486,0.3809524,0.3697034817166953,0.011248906331476682,6,0.1377235246086606,False
2025-10-06,16486,0.36507937,0.36641948235035976,0.001340109229098163,0,0.1377235246086606,False
2025-10-07,16486,0.47619048,0.37048473153813194,0.10570574607150246,1,0.1377235246086606,False
2025-10-09,16486,0.27272728,0.2811848593604171,0.008457578505238261,3,0.1377235246086606,False
2025-10-10,16486,0.10169491,0.2753831317410144,0.1736882200226459,4,0.1377235246086606,True
2025-10-12,16486,0.48214287,0.37676021839710844,0.10538264726069796,6,0.1377235246086606,False
2025-10-13,16486,0.090361446,0.1543362549106821,0.06397480876848544,0,0.1377235246086606,False
2025-10-14,16486,0.4347826,0.37024498614525425,0.0645376082971133,1,0.1377235246086606,False
2025-10-18,16486,0.44,0.3954765230730964,0.04452347454271782,5,0.1377235246086606,False
2025-10-19,16486,0.4,0.3664665320214331,0.03353347393903139,6,0.1377235246086606,False
2025-10-20,16486,0.4117647,0.3846862663465761,0.027078444795010204,0,0.1377235246086606,False
2025-10-21,16486,0.46938777,0.3713621998124475,0.09802556988664918,1,0.1377235246086606,False
2025-10-22,16486,0.3548387,0.39549326220796616,0.04065456310556442,2,0.1377235246086606,False
2025-10-23,16486,0.3888889,0.3761936164217006,0.01269527908992657,3,0.1377235246086606,False
2025-10-24,16486,0.1007752,0.25249326859731613,0.15171807144899307,4,0.1377235246086606,True
2025-10-25,16486,0.2173913,0.3758452585954361,0.15845396137425233,5,0.1377235246086606,True
2025-10-26,16486,0.12820514,0.1340929959236081,0.005887860458939825,6,0.1377235246086606,False
2025-10-27,16486,0.10493827,0.15427415715375697,0.04933588849225795,0,0.1377235246086606,False
2025-10-28,16486,0.09090909,0.23146499480681473,0.1405559011884218,1,0.1377235246086606,True
2025-10-30,16486,0.083333336,0.34080107266579657,0.25746773684893637,3,0.1377235246086606,True
2025-10-31,16486,0.10982659,0.10852830298038477,0.0012982841601753836,4,0.1377235246086606,False
2025-09-06,16487,0.42857143,0.39011138888526625,0.038460043943636946,5,0.1377235246086606,False
2025-09-07,16487,0.4883721,0.37954638736736324,0.10882570011127446,6,0.1377235246086606,False
2025-09-08,16487,0.16778524,0.3766209845499924,0.2088357423500946,0,0.1377235246086606,True
2025-09-09,16487,0.33333334,0.39213443317661284,0.058801089909172044,1,0.1377235246086606,False
2025-09-10,16487,0.1754386,0.25269773165009757,0.0772591338517501,2,0.1377235246086606,False
2025-09-11,16487,0.41025642,0.37650073930750544,0.033755676298039605,3,0.1377235246086606,False
2025-09-12,16487,0.13812155,0.17143782686478443,0.03331628154999561,4,0.1377235246086606,False
2025-09-13,16487,0.4117647,0.4108997242400297,0.0008649869015566192,5,0.1377235246086606,False
2025-09-21,16487,0.42666668,0.4043555220679055,0.022311154930232946,6,0.1377235246086606,False
2025-09-24,16487,0.37777779,0.37941410098864803,0.0016363159258581117,2,0.1377235246086606,False
2025-09-26,16487,0.21604939,0.2549209322894299,0.03887154423839689,4,0.1377235246086606,False
2025-09-27,16487,0.47619048,0.3792729093982808,0.09691756821135361,5,0.1377235246086606,False
2025-09-28,16487,0.39130434,0.37264326762788264,0.01866107631094488,6,0.1377235246086606,False
2025-09-30,16487,0.17687075,0.26002369175370915,0.08315294335302098,1,0.1377235246086606,False
2025-10-01,16487,0.35714287,0.25407448114036435,0.10306838451744205,2,0.1377235246086606,False
2025-10-03,16487,0.4878049,0.39941558988640974,0.08838929979254534,4,0.1377235246086606,False
2025-10-05,16487,0.46825397,0.3974006933621479,0.0708532767840313,6,0.1377235246086606,False
2025-10-09,16487,0.33333334,0.3962451413880967,0.06291179812065589,3,0.1377235246086606,False
2025-10-10,16487,0.15508021,0.21323827135805662,0.05815805721525724,4,0.1377235246086606,False
2025-10-12,16487,0.3478261,0.38375813111272555,0.03593203767743808,6,0.1377235246086606,False
2025-10-13,16487,0.16129032,0.2613134592701093,0.10002314149629032,0,0.1377235246086606,False
2025-10-14,16487,0.49122807,0.3801186657127976,0.1111094081225753,1,0.1377235246086606,False
2025-10-16,16487,0.36,0.38927875169691606,0.029278737391801313,3,0.1377235246086606,False
2025-10-18,16487,0.41666666,0.40145889240787724,0.01520776432468196,5,0.1377235246086606,False
2025-10-20,16487,0.325,0.39411387359430605,0.06911388551523501,0,0.1377235246086606,False
2025-10-23,16487,0.3888889,0.3902417004917822,0.001352804980154998,3,0.1377235246086606,False
2025-10-24,16487,0.14197531,0.21168283891781636,0.06970752549275228,4,0.1377235246086606,False
2025-10-25,16487,0.35897437,0.3954925123876687,0.03651814500752648,5,0.1377235246086606,False
2025-10-26,16487,0.17857143,0.20921059676655113,0.03063916393764793,6,0.1377235246086606,False
2025-10-27,16487,0.17682926,0.2014659861909553,0.024636722623030793,0,0.1377235246086606,False
2025-10-28,16487,0.35714287,0.3847044691453332,0.027561603487526787,1,0.1377235246086606,False
2025-10-30,16487,0.25,0.37185805225234053,0.12185805225234053,3,0.1377235246086606,False
2025-10-31,16487,0.12637363,0.1743834272517459,0.04800979350941345,4,0.1377235246086606,False
2025-09-07,16491,0.4871795,0.39498969708787535,0.09218979085577395,6,0.1377235246086606,False
2025-09-08,16491,0.13829787,0.16721024119382413,0.028912370438628515,0,0.1377235246086606,False
2025-09-09,16491,0.375,0.3470453639194219,0.027954636080578077,1,0.1377235246086606,False
2025-09-10,16491,0.114754096,0.11965425324808278,0.0049001575745216824,2,0.1377235246086606,False
2025-09-11,16491,0.47368422,0.3750807378744549,0.09860348363166388,3,0.1377235246086606,False
2025-09-12,16491,0.10240964,0.18396465462174422,0.08155501615729338,4,0.1377235246086606,False
2025-09-13,16491,0.42477876,0.3767955708570279,0.04798318862249479,5,0.1377235246086606,False
2025-09-14,16491,0.40384614,0.3800365860130024,0.02380955866320611,6,0.1377235246086606,False
2025-09-16,16491,0.5,0.39292463898749175,0.10707536101250825,1,0.1377235246086606,False
